comparison_id,a_id,b_id,metric,point_a,point_b,point_delta,percentile_lo,percentile_hi,interval_excludes_zero,prob_positive,bca_lo,bca_hi,bca_trusted,bca_note,undefined_delta_rate,interval_type,threshold_metric,n_test_guides,n_boot,ci,seed
P4,S8B_R2,XGB_F4,auprc,0.9860197951127561,0.9923383411655163,-0.006318546052760277,-0.03123568455337737,0.0011664436101150842,False,0.076,-0.04603044577373448,0.000249839141787563,True,ok,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P4,S8B_R2,XGB_F4,auroc,0.9034804324583039,0.9364204464309839,-0.03294001397267998,-0.14222998259113184,0.006982766314800642,False,0.0758,-0.14401470801719213,0.0065529045535145675,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P4,S8B_R2,XGB_F4,mcc,0.5673088150643012,0.35114567277449504,0.21616314228980615,-0.16275540018619908,0.43364582110278804,False,0.8672,-0.08122401055324441,0.490106895023835,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P4,S8B_R2,XGB_F4,specificity,0.863905325443787,0.23668639053254437,0.6272189349112426,0.14124396135265724,0.8271028037383178,True,0.9954,0.24137931034482757,0.8931297709923665,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P4,S8B_R2,XGB_F4,macro_f1,0.7600577795833898,0.6484541461929817,0.11160363339040813,-0.1136527123438696,0.23211561558647822,False,0.8378,-0.07079754573003598,0.2651466564924158,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P5,S8A_R2,XGB_F4,auprc,0.9827569522755897,0.9923383411655163,-0.009581388889926656,-0.057875330282014595,0.00541081471976484,False,0.2532,-0.05927554330616684,0.004937950470285416,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P5,S8A_R2,XGB_F4,auroc,0.9105748484041424,0.9364204464309839,-0.0258455980268415,-0.14882358672873763,0.03933942202725578,False,0.2934,-0.2155493269596614,0.027076154633569025,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P5,S8A_R2,XGB_F4,mcc,0.5636559421565394,0.35114567277449504,0.21251026938204431,0.030619511309641505,0.4925437270709798,True,0.9892,0.03773485226674393,0.5100530230354761,True,ok,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P5,S8A_R2,XGB_F4,specificity,0.5207100591715976,0.23668639053254437,0.28402366863905326,0.08275732434534613,0.6549429436422904,True,0.9954,0.06708871228583485,0.6282824013256215,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P5,S8A_R2,XGB_F4,macro_f1,0.777992277992278,0.6484541461929817,0.1295381317992963,0.024977415121488954,0.2708955068712947,True,0.9924,0.039337715287337024,0.29603338544618807,True,ok,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P6,S7F_R3,XGB_F4,auprc,0.9849450506906443,0.9923383411655163,-0.007393290474872027,-0.04285005993823284,0.007986440089621747,False,0.3446,-0.054117267871450124,0.005886366177286056,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P6,S7F_R3,XGB_F4,auroc,0.9265507937794555,0.9364204464309839,-0.009869652651528393,-0.12410704055052746,0.05370195131505643,False,0.4468,-0.18690473563065163,0.03768088225293761,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P6,S7F_R3,XGB_F4,mcc,0.5681083533534749,0.35114567277449504,0.21696268057897983,0.04874645687681281,0.5218781837928624,True,0.9972,0.04086363956788256,0.4912631030282645,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P6,S7F_R3,XGB_F4,specificity,0.4970414201183432,0.23668639053254437,0.2603550295857988,0.06616268382352951,0.7000438596491221,True,0.9984,0.022727272727272707,0.6228349371504568,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P6,S7F_R3,XGB_F4,macro_f1,0.7771849042975804,0.6484541461929817,0.12873075810459866,0.03236896280620155,0.2846636129624804,True,0.9982,0.0369940033324124,0.3029977514593877,True,ok,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P7,S8B_R2,S7F_R2,auprc,0.9860197951127561,0.9820615421641292,0.003958252948626839,-0.0179995288487308,0.03707105792757493,False,0.634,-0.017950283554202688,0.037234421533649295,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P7,S8B_R2,S7F_R2,auroc,0.9034804324583039,0.9065567379582131,-0.0030763054999092265,-0.08797827385186563,0.06792347568254091,False,0.4362,-0.07314567453340658,0.08096656015218871,True,ok,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P7,S8B_R2,S7F_R2,mcc,0.5673088150643012,0.603488686060613,-0.036179870996311814,-0.30057728567782743,0.08112893700902472,False,0.3096,-0.24420956029669588,0.11411130348342031,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P7,S8B_R2,S7F_R2,specificity,0.863905325443787,0.650887573964497,0.21301775147928992,0.0,0.3344659563409562,False,0.9528,0.017713436200318164,0.3691200123641254,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P7,S8B_R2,S7F_R2,macro_f1,0.7600577795833898,0.8017158070442817,-0.04165802746089187,-0.18763925465974035,0.019856880330052794,False,0.1192,-0.14925482197296425,0.033860118985007216,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P8,S8A_R2,S7F_R2,auprc,0.9827569522755897,0.9820615421641292,0.0006954101114604594,-0.01604555655886726,0.00775704808358372,False,0.6152,-0.011378359756316311,0.009564906857520799,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P8,S8A_R2,S7F_R2,auroc,0.9105748484041424,0.9065567379582131,0.004018110445929257,-0.059230591197000804,0.05727537270713599,False,0.621,-0.07151682376170078,0.04745956204286831,True,ok,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P8,S8A_R2,S7F_R2,mcc,0.5636559421565394,0.603488686060613,-0.03983274390407365,-0.1486093569360076,0.10117822330084444,False,0.3052,-0.18719126105137837,0.07109873209201013,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P8,S8A_R2,S7F_R2,specificity,0.5207100591715976,0.650887573964497,-0.1301775147928994,-0.29316867557267007,0.17979478776529303,False,0.3162,-0.3357239172174316,0.12714545624628473,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P8,S8A_R2,S7F_R2,macro_f1,0.777992277992278,0.8017158070442817,-0.0237235290520037,-0.08988345596830648,0.05025334565851855,False,0.2986,-0.10868455865907506,0.03702598528099303,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
