run_id,predeclared_run_id,architecture,grna_target_id,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1120,15,1,0.06666666666666667,0.1452796588341395,0.11958858370780945,0.18165476620197296
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,11299,11,11,1.0,0.2342484864321622,0.13484106957912445,0.539845883846283
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,11487,13,13,1.0,0.9680210993840144,0.9477666616439819,0.9865103363990784
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,11506,13,5,0.38461538461538464,0.9573822159033555,0.801062285900116,0.9863102436065674
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1408,9,0,0.0,0.18715966906812456,0.1445751041173935,0.24118763208389282
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1505,48,48,1.0,0.4034467867265145,0.31253471970558167,0.7774882316589355
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,228,12,5,0.4166666666666667,0.19297626428306103,0.10640407353639603,0.5269995331764221
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,278,14,14,1.0,0.1524047093199832,0.060171086341142654,0.6313194036483765
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,3265,35,35,1.0,0.972776164327349,0.9591773152351379,0.9923468828201294
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,3300,120,120,1.0,0.9066719273726146,0.8227297067642212,0.982901930809021
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,3420,320,320,1.0,0.5628240834921598,0.46581676602363586,0.8750797510147095
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,635,3,3,1.0,0.32669171194235486,0.2082197219133377,0.5519670844078064
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,7696,126,126,1.0,0.45320747426104924,0.23687949776649475,0.8284016251564026
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,804,4,4,1.0,0.6418503522872925,0.5534519553184509,0.8243513703346252
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,8319,101,101,1.0,0.44622066203910526,0.22742292284965515,0.8216597437858582
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,8420,408,408,1.0,0.33953930411999134,0.19152498245239258,0.8699454069137573
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,9251,176,96,0.5454545454545454,0.36022827782752836,0.19778360426425934,0.8055436611175537
