feature_set,feature,family,is_forbidden
F4,StrongWeakBDM_center,computed_nucleosome_aggregates,False
F4,StrongWeakBDM_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,StrongWeakBDM_missing,computed_nucleosome_missingness,False
F4,NuPoP_Occup_147_human_mean,computed_nucleosome_aggregates,False
F4,NuPoP_Occup_147_human_std,computed_nucleosome_aggregates,False
F4,NuPoP_Occup_147_human_min,computed_nucleosome_aggregates,False
F4,NuPoP_Occup_147_human_max,computed_nucleosome_aggregates,False
F4,NuPoP_Occup_147_human_center,computed_nucleosome_aggregates,False
F4,NuPoP_Occup_147_human_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,NuPoP_Occup_147_human_missing,computed_nucleosome_missingness,False
F4,NuPoP_Viterbi_147_human_mean,computed_nucleosome_aggregates,False
F4,NuPoP_Viterbi_147_human_std,computed_nucleosome_aggregates,False
F4,NuPoP_Viterbi_147_human_min,computed_nucleosome_aggregates,False
F4,NuPoP_Viterbi_147_human_max,computed_nucleosome_aggregates,False
F4,NuPoP_Viterbi_147_human_center,computed_nucleosome_aggregates,False
F4,NuPoP_Viterbi_147_human_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,NuPoP_Viterbi_147_human_missing,computed_nucleosome_missingness,False
F4,NuPoP_Affinity_147_human_mean,computed_nucleosome_aggregates,False
F4,NuPoP_Affinity_147_human_std,computed_nucleosome_aggregates,False
F4,NuPoP_Affinity_147_human_min,computed_nucleosome_aggregates,False
F4,NuPoP_Affinity_147_human_max,computed_nucleosome_aggregates,False
F4,NuPoP_Affinity_147_human_center,computed_nucleosome_aggregates,False
F4,NuPoP_Affinity_147_human_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,NuPoP_Affinity_147_human_missing,computed_nucleosome_missingness,False
F4,nuCpos_Occup_147_yeast_mean,computed_nucleosome_aggregates,False
F4,nuCpos_Occup_147_yeast_std,computed_nucleosome_aggregates,False
F4,nuCpos_Occup_147_yeast_min,computed_nucleosome_aggregates,False
F4,nuCpos_Occup_147_yeast_max,computed_nucleosome_aggregates,False
F4,nuCpos_Occup_147_yeast_center,computed_nucleosome_aggregates,False
F4,nuCpos_Occup_147_yeast_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,nuCpos_Occup_147_yeast_missing,computed_nucleosome_missingness,False
F4,nuCpos_Viterbi_147_yeast_mean,computed_nucleosome_aggregates,False
F4,nuCpos_Viterbi_147_yeast_std,computed_nucleosome_aggregates,False
F4,nuCpos_Viterbi_147_yeast_min,computed_nucleosome_aggregates,False
F4,nuCpos_Viterbi_147_yeast_max,computed_nucleosome_aggregates,False
F4,nuCpos_Viterbi_147_yeast_center,computed_nucleosome_aggregates,False
F4,nuCpos_Viterbi_147_yeast_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,nuCpos_Viterbi_147_yeast_missing,computed_nucleosome_missingness,False
F4,nuCpos_Affinity_147_yeast_mean,computed_nucleosome_aggregates,False
F4,nuCpos_Affinity_147_yeast_std,computed_nucleosome_aggregates,False
F4,nuCpos_Affinity_147_yeast_min,computed_nucleosome_aggregates,False
F4,nuCpos_Affinity_147_yeast_max,computed_nucleosome_aggregates,False
F4,nuCpos_Affinity_147_yeast_center,computed_nucleosome_aggregates,False
