model_name,feature_set,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
logistic_regression,F3,test,9,170,159,11,0.9352941176470588,0.7710240303911403,0.7432286782630939,0.7927169934538135
logistic_regression,F3,test,10,171,153,18,0.8947368421052632,0.6686020164632853,0.43683938384113746,0.7430912999807977
logistic_regression,F3,val,1,173,169,4,0.976878612716763,0.9807580509088852,0.9675703083921782,0.9999999305421078
logistic_regression,F3,val,2,173,166,7,0.9595375722543352,0.960080184288409,0.9524276706558671,0.9675385613089894
logistic_regression,F3,val,3,174,167,7,0.9597701149425287,0.944944962268524,0.9360061330331699,0.9524231819623649
logistic_regression,F3,val,4,173,154,19,0.8901734104046243,0.9266908328829604,0.9160081490621648,0.9359980931515659
logistic_regression,F3,val,5,174,165,9,0.9482758620689655,0.9065694283296996,0.8973247643070651,0.9159737458886761
logistic_regression,F3,val,6,173,150,23,0.8670520231213873,0.8864229055587501,0.875895472932023,0.8972291384764539
logistic_regression,F3,val,7,173,144,29,0.8323699421965318,0.8657318359400826,0.8542058747258928,0.8758271991400066
logistic_regression,F3,val,8,174,150,24,0.8620689655172413,0.83413747952067,0.8129763051027401,0.8540336271326933
logistic_regression,F3,val,9,173,129,44,0.7456647398843931,0.787230042883858,0.7546662117355443,0.8126164662133982
logistic_regression,F3,val,10,174,117,57,0.6724137931034483,0.6493288705696377,0.1652818856493141,0.7545836111665196
logistic_regression,F4,test,1,170,163,7,0.9588235294117647,0.9936191490347658,0.9834608384374528,0.9999956434256597
logistic_regression,F4,test,2,170,156,14,0.9176470588235294,0.962765895660156,0.9467592473045184,0.9834130544798177
logistic_regression,F4,test,3,170,146,24,0.8588235294117647,0.9329974375151795,0.9198631844351935,0.9467459885273518
logistic_regression,F4,test,4,170,147,23,0.8647058823529412,0.9078399900780425,0.8960989633700475,0.91981423006751
logistic_regression,F4,test,5,171,151,20,0.8830409356725146,0.8819102024202553,0.8668124020997648,0.8958579321291872
logistic_regression,F4,test,6,170,155,15,0.9117647058823529,0.8529216259349621,0.8351217258370547,0.866767913948712
logistic_regression,F4,test,7,170,159,11,0.9352941176470588,0.8176055886286177,0.7995496392826675,0.8349733618669674
logistic_regression,F4,test,8,170,151,19,0.888235294117647,0.7778493091703724,0.7512791956240104,0.7995485180223358
logistic_regression,F4,test,9,170,153,17,0.9,0.7214252770649348,0.6901367714101905,0.7510324470733688
logistic_regression,F4,test,10,171,152,19,0.8888888888888888,0.5942953400695344,0.3031676877116216,0.6900338961226448
logistic_regression,F4,val,1,173,171,2,0.9884393063583815,0.9849335834341185,0.9719491950014854,0.9999999508152702
logistic_regression,F4,val,2,173,164,9,0.9479768786127167,0.960733071947687,0.9506630326745213,0.9718217145163426
logistic_regression,F4,val,3,174,164,10,0.9425287356321839,0.9419467399682547,0.9324713391586164,0.9506427016934073
logistic_regression,F4,val,4,173,161,12,0.930635838150289,0.9205561029194033,0.9080309501211545,0.9323016775151409
logistic_regression,F4,val,5,174,159,15,0.9137931034482759,0.8962648245734924,0.8826747776615503,0.9080267013322971
logistic_regression,F4,val,6,173,155,18,0.8959537572254336,0.86994505479262,0.8580568211400561,0.8826055570032261
logistic_regression,F4,val,7,173,149,24,0.861271676300578,0.8419534547555748,0.8245864129706904,0.8580375594885813
logistic_regression,F4,val,8,174,144,30,0.8275862068965517,0.7995376812183231,0.771425705857036,0.824402699829509
logistic_regression,F4,val,9,173,134,39,0.7745664739884393,0.7352387301853301,0.6911354526627271,0.7709364749702093
logistic_regression,F4,val,10,174,110,64,0.632183908045977,0.5677539354783034,0.10892570716069096,0.6910512919843735
