input_representation,feature_set,source_column,is_forbidden,max_length,channels,policy,input_branch,tabular_feature_set,tabular_preprocessor_fit_scope,family
S1_sequence_pair+F4,F4,mismatch_pos_10,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_11,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_12,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_13,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_14,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_15,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_16,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_17,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_18,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_19,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_20,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_21,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,mismatch_pos_22,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,mismatch_position
S1_sequence_pair+F4,F4,energy_1,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,binding_energy
S1_sequence_pair+F4,F4,energy_2,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,binding_energy
