run_id,loss,loss_params,sampling,role,test_auprc,test_mcc,test_specificity,grna_target_id,rows,positives,negatives,positive_rate,auprc,auroc,mcc,macro_f1,positive_retrieval_rate,negative_retrieval_tnr,tn,fp,fn,tp
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,11173,145,145,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,145
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,1120,15,1,14,0.06666666666666667,0.5,0.9285714285714286,0.0,0.0625,1.0,0.0,0,14,0,1
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,11299,11,11,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,11
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,11487,13,13,0,1.0,0.9999999999999998,,0.0,1.0,1.0,,0,0,0,13
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,11506,13,5,8,0.38461538461538464,0.6333333333333333,0.675,0.0,0.2777777777777778,1.0,0.0,0,8,0,5
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,1408,9,0,9,0.0,,,0.0,0.0,,0.0,0,9,0,0
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,1505,48,48,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,48
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,228,12,5,7,0.4166666666666667,0.8711111111111112,0.8571428571428572,0.0,0.29411764705882354,1.0,0.0,0,7,0,5
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,278,14,14,0,1.0,0.9999999999999998,,0.0,1.0,1.0,,0,0,0,14
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,3265,35,35,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,35
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,3300,120,120,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,120
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,3420,320,320,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,320
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,635,3,3,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,3
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,7696,126,126,0,1.0,0.9999999999999999,,0.0,0.49800796812749004,0.9920634920634921,,0,0,1,125
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,804,4,4,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,4
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,8319,101,101,0,1.0,1.0,,0.0,0.4975124378109453,0.9900990099009901,,0,0,1,100
