run_id,loss,loss_params,sampling,role,test_auprc,test_mcc,test_specificity,split,genome,rows,positive_rate,auprc,auroc,specificity,tnr,mcc,tn,fp,fn,tp
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,focal,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.9623724910400026,0.16285134583623057,0.03550295857988166,val,mm10,22,0.045454545454545456,0.1111111111111111,0.6190476190476191,0.0,0.0,0.0,0,21,0,1
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,focal,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.9623724910400026,0.16285134583623057,0.03550295857988166,val,rn5,11,0.18181818181818182,0.5,0.8333333333333334,0.0,0.0,0.0,0,9,0,2
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,focal,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.9568034730759204,0.16285134583623057,0.03550295857988166,test,hg19,1446,0.9896265560165975,0.983228312071218,0.5216398788725832,0.0,0.0,0.0,0,15,0,1431
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,focal,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.9568034730759204,0.16285134583623057,0.03550295857988166,test,hg38,176,0.5454545454545454,0.6633811741855546,0.5744791666666667,0.0,0.0,0.0,0,80,0,96
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,focal,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.9568034730759204,0.16285134583623057,0.03550295857988166,test,mm10,80,0.075,0.14787844285404467,0.6261261261261262,0.08108108108108109,0.08108108108108109,-0.07977772757192705,6,68,1,5
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,focal,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.9568034730759204,0.16285134583623057,0.03550295857988166,val,hg19,1368,0.9890350877192983,0.9931615361124158,0.6241438778024144,0.0,0.0,0.0,0,15,0,1353
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,focal,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.9568034730759204,0.16285134583623057,0.03550295857988166,val,hg38,333,0.46546546546546547,0.5036395280059902,0.5172888727799928,0.0,0.0,0.0,0,178,0,155
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,focal,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.9568034730759204,0.16285134583623057,0.03550295857988166,val,mm10,22,0.045454545454545456,0.1,0.5714285714285714,0.0,0.0,0.0,0,21,0,1
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,focal,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.9568034730759204,0.16285134583623057,0.03550295857988166,val,rn5,11,0.18181818181818182,0.75,0.8888888888888888,0.0,0.0,0.0,0,9,0,2
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,generalized_dice,"{""class_weights"": ""inverse_volume"", ""epsilon"": 1.0}",null,generalized_dice_sudre2017,0.8711738760752983,0.0,0.0,test,hg19,1446,0.9896265560165975,0.9916824725806885,0.5256929885860704,0.0,0.0,0.0,0,15,0,1431
