run_id,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,3,170,167,3,0.9823529411764705,0.8332704445895027,0.8294375538825989,0.83782559633255
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,4,170,169,1,0.9941176470588236,0.8265538731042077,0.8239806294441223,0.8294216394424438
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,5,171,170,1,0.9941520467836257,0.8220038243204529,0.8200895190238953,0.8239647746086121
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,6,170,164,6,0.9647058823529412,0.8180054391131681,0.8162620067596436,0.820088803768158
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,7,170,162,8,0.9529411764705882,0.8131983213564928,0.809820294380188,0.8162388801574707
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,8,170,137,33,0.8058823529411765,0.8054437283207388,0.800789475440979,0.8096821308135986
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,9,170,110,60,0.6470588235294118,0.7957123858087203,0.7902236580848694,0.8007797002792358
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,10,171,125,46,0.7309941520467836,0.7725407007144905,0.6831420660018921,0.7900857329368591
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,1,173,173,0,1.0,0.8590075735411892,0.8457381129264832,0.8992493748664856
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,2,173,170,3,0.9826589595375722,0.8390370548805061,0.8337780237197876,0.8457314968109131
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,3,174,165,9,0.9482758620689655,0.8284501512160246,0.823714554309845,0.8337220549583435
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,4,173,158,15,0.9132947976878613,0.8203958448647075,0.8170977234840393,0.8237075209617615
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,5,174,154,20,0.8850574712643678,0.8134468201248125,0.8098836541175842,0.816964328289032
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,6,173,154,19,0.8901734104046243,0.806703444850238,0.8033199906349182,0.8098679184913635
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,7,173,148,25,0.8554913294797688,0.80052438843457,0.7973307371139526,0.8033155202865601
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,8,174,149,25,0.8563218390804598,0.7940253074141754,0.7902832627296448,0.7972335815429688
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,9,173,148,25,0.8554913294797688,0.7846105636199775,0.7764115929603577,0.7902718782424927
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,10,174,92,82,0.5287356321839081,0.7491572345125264,0.7117778658866882,0.7762723565101624
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,1,170,163,7,0.9588235294117647,0.8631987848702599,0.8493034243583679,0.9022484421730042
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,2,170,169,1,0.9941176470588236,0.8413716281161588,0.8348533511161804,0.8491863012313843
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,3,170,164,6,0.9647058823529412,0.8296179469893961,0.8253843188285828,0.8345885276794434
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,4,170,168,2,0.9882352941176471,0.8221199586110957,0.8195774555206299,0.8253644108772278
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,5,171,169,2,0.9883040935672515,0.8172663607095417,0.8151039481163025,0.819564938545227
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,6,170,162,8,0.9529411764705882,0.8131644669701071,0.8111449480056763,0.8150731921195984
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,7,170,160,10,0.9411764705882353,0.8083459492991952,0.8051518201828003,0.8111203908920288
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,8,170,137,33,0.8058823529411765,0.8002924943671507,0.7955144047737122,0.8051512241363525
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,9,170,114,56,0.6705882352941176,0.7898320341811461,0.7827417850494385,0.7954930067062378
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,10,171,127,44,0.7426900584795322,0.7649763494904278,0.6739122867584229,0.7827391624450684
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,1,173,173,0,1.0,0.8584037016581938,0.8438114523887634,0.9015468955039978
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,2,173,170,3,0.9826589595375722,0.8367143838391827,0.8307391405105591,0.8437263369560242
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,3,174,157,17,0.9022988505747126,0.8251620623572119,0.8203176856040955,0.8307358622550964
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,4,173,161,12,0.930635838150289,0.816765754553624,0.8131673336029053,0.8203060626983643
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,5,174,156,18,0.896551724137931,0.8097174993191643,0.8059854507446289,0.8131512403488159
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,6,173,145,28,0.838150289017341,0.8018654905302676,0.7986276745796204,0.8059636354446411
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,7,173,152,21,0.8786127167630058,0.7945347135466647,0.7904975414276123,0.7985448241233826
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,8,174,145,29,0.8333333333333334,0.7854732984098894,0.7791650891304016,0.7904939651489258
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,9,173,156,17,0.9017341040462428,0.772497670843422,0.763300895690918,0.7789967656135559
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,10,174,96,78,0.5517241379310345,0.738755766687722,0.6946645379066467,0.7628670334815979
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,1,170,162,8,0.9529411764705882,0.862685377106947,0.8512365818023682,0.8951530456542969
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,2,170,163,7,0.9588235294117647,0.8451196645989137,0.8403913974761963,0.8511108160018921
