registry_id,metric,guide,negatives_in_guide,point_estimate,leave_one_guide_value,delta
S7F_R1,mcc,8420,0,0.5004602380209762,0.492385251644606,-0.008074986376370163
S7F_R1,mcc,9251,80,0.5004602380209762,0.7099140857503695,0.20945384772939335
S7F_R1,mcc,10597,0,0.5004602380209762,0.5059105912044946,0.005450353183518386
S7F_R1,mcc,10599,0,0.5004602380209762,0.49996252940849034,-0.0004977086124858254
S7F_R1,mcc,10957,0,0.5004602380209762,0.5004009996341434,-5.923838683274951e-05
S7F_R1,mcc,10990,0,0.5004602380209762,0.5001610639914614,-0.00029917402951473715
S7F_R1,mcc,11012,0,0.5004602380209762,0.50034146527375,-0.00011877274722615905
S7F_R1,mcc,11173,0,0.5004602380209762,0.4981060436484356,-0.0023541943725405856
S7F_R1,mcc,11299,0,0.5004602380209762,0.5002966189333093,-0.00016361908766682198
S7F_R1,mcc,11487,0,0.5004602380209762,0.5002666277190241,-0.00019361030195208517
S7F_R1,mcc,11506,8,0.5004602380209762,0.5141883040806036,0.013728066059627397
S7F_R1,specificity,228,7,0.30177514792899407,0.30246913580246915,0.0006939878734750771
S7F_R1,specificity,278,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,635,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,804,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,1018,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,1026,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,1028,14,0.30177514792899407,0.2645161290322581,-0.037259018896735996
S7F_R1,specificity,1044,12,0.30177514792899407,0.25477707006369427,-0.0469980778652998
S7F_R1,specificity,1060,13,0.30177514792899407,0.28205128205128205,-0.01972386587771202
S7F_R1,specificity,1088,12,0.30177514792899407,0.2484076433121019,-0.05336750461689216
S7F_R1,specificity,1120,14,0.30177514792899407,0.32903225806451614,0.027257110135522067
S7F_R1,specificity,1408,9,0.30177514792899407,0.2625,-0.03927514792899406
S7F_R1,specificity,1505,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,3265,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,3300,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,3420,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,7696,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,8319,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,8420,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,9251,80,0.30177514792899407,0.5730337078651685,0.2712585599361744
S7F_R1,specificity,10597,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,10599,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,10957,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,10990,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,11012,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,11173,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,11299,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,11487,0,0.30177514792899407,0.30177514792899407,0.0
S7F_R1,specificity,11506,8,0.30177514792899407,0.3167701863354037,0.014995038406409644
S7F_R1,macro_f1,228,7,0.7073209604697493,0.7094235644219111,0.0021026039521617745
S7F_R1,macro_f1,278,0,0.7073209604697493,0.7071490532106209,-0.0001719072591284121
S7F_R1,macro_f1,635,0,0.7073209604697493,0.7072843786111986,-3.65818585507105e-05
S7F_R1,macro_f1,804,0,0.7073209604697493,0.7072721538946705,-4.880657507888575e-05
S7F_R1,macro_f1,1018,0,0.7073209604697493,0.7072721538946705,-4.880657507888575e-05
S7F_R1,macro_f1,1026,0,0.7073209604697493,0.7072965879265092,-2.4372543240169797e-05
S7F_R1,macro_f1,1028,14,0.7073209604697493,0.686411468178954,-0.020909492290795306
S7F_R1,macro_f1,1044,12,0.7073209604697493,0.6799618526818223,-0.02735910778792705
S7F_R1,macro_f1,1060,13,0.7073209604697493,0.6973897445413497,-0.009931215928399628
S7F_R1,macro_f1,1088,12,0.7073209604697493,0.6746719659492904,-0.032648994520458996
S7F_R1,macro_f1,1120,14,0.7073209604697493,0.7244756837425625,0.0171547232728132
S7F_R1,macro_f1,1408,9,0.7073209604697493,0.6835528445277204,-0.02376811594202899
S7F_R1,macro_f1,1505,0,0.7073209604697493,0.7067185641690994,-0.0006023963006499544
S7F_R1,macro_f1,3265,0,0.7073209604697493,0.7068853865122762,-0.00043557395747317873
S7F_R1,macro_f1,3300,0,0.7073209604697493,0.7057411818078712,-0.001579778661878195
S7F_R1,macro_f1,3420,0,0.7073209604697493,0.7024445319679664,-0.004876428501782937
S7F_R1,macro_f1,7696,0,0.7073209604697493,0.7056553923243366,-0.0016655681454127436
S7F_R1,macro_f1,8319,0,0.7073209604697493,0.706008285746277,-0.0013126747234722957
S7F_R1,macro_f1,8420,0,0.7073209604697493,0.7006404288334038,-0.006680531636345521
S7F_R1,macro_f1,9251,80,0.7073209604697493,0.8443281970985611,0.13700723662881176
S7F_R1,macro_f1,10597,0,0.7073209604697493,0.7084720223101835,0.00115106184043412
S7F_R1,macro_f1,10599,0,0.7073209604697493,0.7069108041546204,-0.0004101563151289733
S7F_R1,macro_f1,10957,0,0.7073209604697493,0.7072721538946705,-4.880657507888575e-05
S7F_R1,macro_f1,10990,0,0.7073209604697493,0.7070744398428375,-0.0002465206269118836
S7F_R1,macro_f1,11012,0,0.7073209604697493,0.7072231004320793,-9.786003767009444e-05
S7F_R1,macro_f1,11173,0,0.7073209604697493,0.7053790238836968,-0.0019419365860525728
S7F_R1,macro_f1,11299,0,0.7073209604697493,0.7071861471861471,-0.00013481328360220868
S7F_R1,macro_f1,11487,0,0.7073209604697493,0.7071614335553441,-0.00015952691440523914
S7F_R1,macro_f1,11506,8,0.7073209604697493,0.7168325954132814,0.009511634943532021
S7F_R2,auprc,228,7,0.9820615421641292,0.9836509306670302,0.0015893885029010235
