model_name,feature_set,feature,family,weight,gain,cover,total_gain,total_cover
xgboost_unweighted,F2,target_protospacer_gc_fraction,sequence_summary,21.0,104.06254577636719,240.7016143798828,2185.3134765625,5054.73388671875
xgboost_unweighted,F2,aligned_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_count,sequence_summary,37.0,17.60480308532715,250.77557373046875,651.377685546875,9278.6962890625
xgboost_unweighted,F2,mismatch_rate,sequence_summary,1.0,11.2059326171875,267.4798889160156,11.2059326171875,267.4798889160156
xgboost_unweighted,F2,mismatch_pos_00,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_01,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_02,mismatch_position,6.0,5.836328983306885,14.798661231994629,35.017974853515625,88.7919692993164
xgboost_unweighted,F2,mismatch_pos_03,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_04,mismatch_position,10.0,2.7036805152893066,56.792724609375,27.03680419921875,567.92724609375
xgboost_unweighted,F2,mismatch_pos_05,mismatch_position,3.0,6.813130855560303,12.274178504943848,20.43939208984375,36.82253646850586
xgboost_unweighted,F2,mismatch_pos_06,mismatch_position,7.0,6.036797046661377,14.025675773620605,42.2575798034668,98.17973327636719
xgboost_unweighted,F2,mismatch_pos_07,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_08,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_09,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_10,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_11,mismatch_position,6.0,24.53841209411621,273.1692199707031,147.23046875,1639.0152587890625
xgboost_unweighted,F2,mismatch_pos_12,mismatch_position,3.0,8.839958190917969,141.45249938964844,26.519874572753906,424.35748291015625
xgboost_unweighted,F2,mismatch_pos_13,mismatch_position,5.0,11.170166969299316,127.47257995605469,55.850833892822266,637.3629150390625
xgboost_unweighted,F2,mismatch_pos_14,mismatch_position,2.0,31.088123321533203,332.775390625,62.176246643066406,665.55078125
xgboost_unweighted,F2,mismatch_pos_15,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_16,mismatch_position,8.0,35.896636962890625,234.61703491210938,287.173095703125,1876.936279296875
xgboost_unweighted,F2,mismatch_pos_17,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_18,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_19,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_20,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_21,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,mismatch_pos_22,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F2,energy_1,binding_energy,16.0,162.33839416503906,460.5679016113281,2597.414306640625,7369.08642578125
xgboost_unweighted,F2,energy_2,binding_energy,3.0,2.982877492904663,12.689468383789062,8.94863224029541,38.06840515136719
xgboost_unweighted,F2,energy_3,binding_energy,4.0,10.222074508666992,134.50514221191406,40.88829803466797,538.0205688476562
xgboost_unweighted,F2,energy_4,binding_energy,2.0,10.156471252441406,113.48826599121094,20.312942504882812,226.97653198242188
xgboost_unweighted,F2,energy_5,binding_energy,5.0,14.819520950317383,127.9039535522461,74.09760284423828,639.519775390625
xgboost_balanced_train_weights,F2,guide_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,target_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,length_delta,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,guide_gc_fraction,sequence_summary,79.0,413.5221252441406,1019.8753662109375,32668.248046875,80570.15625
xgboost_balanced_train_weights,F2,target_gc_fraction,sequence_summary,7.0,113.1167984008789,545.9443359375,791.8175659179688,3821.6103515625
xgboost_balanced_train_weights,F2,target_pam_gc_fraction,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,target_protospacer_gc_fraction,sequence_summary,23.0,169.2853546142578,689.2791137695312,3893.56298828125,15853.4189453125
xgboost_balanced_train_weights,F2,aligned_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_count,sequence_summary,37.0,54.73405075073242,443.0862121582031,2025.159912109375,16394.189453125
xgboost_balanced_train_weights,F2,mismatch_rate,sequence_summary,2.0,29.66290283203125,465.8678894042969,59.3258056640625,931.7357788085938
xgboost_balanced_train_weights,F2,mismatch_pos_00,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_pos_01,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_pos_02,mismatch_position,4.0,17.785545349121094,34.94213104248047,71.14218139648438,139.76852416992188
xgboost_balanced_train_weights,F2,mismatch_pos_03,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_pos_04,mismatch_position,22.0,3.0329949855804443,310.23944091796875,66.72589111328125,6825.267578125
xgboost_balanced_train_weights,F2,mismatch_pos_05,mismatch_position,1.0,33.444923400878906,27.0391845703125,33.444923400878906,27.0391845703125
xgboost_balanced_train_weights,F2,mismatch_pos_06,mismatch_position,1.0,23.389589309692383,35.42257308959961,23.389589309692383,35.42257308959961
xgboost_balanced_train_weights,F2,mismatch_pos_07,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_pos_08,mismatch_position,3.0,1.6898193359375,222.4302215576172,5.0694580078125,667.2906494140625
xgboost_balanced_train_weights,F2,mismatch_pos_09,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_pos_10,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_pos_11,mismatch_position,6.0,57.66788101196289,559.5557250976562,346.0072937011719,3357.334228515625
xgboost_balanced_train_weights,F2,mismatch_pos_12,mismatch_position,4.0,31.10736083984375,293.3114013671875,124.429443359375,1173.24560546875
xgboost_balanced_train_weights,F2,mismatch_pos_13,mismatch_position,9.0,23.07734489440918,83.2749252319336,207.69610595703125,749.4743041992188
xgboost_balanced_train_weights,F2,mismatch_pos_14,mismatch_position,1.0,39.15074157714844,863.676513671875,39.15074157714844,863.676513671875
xgboost_balanced_train_weights,F2,mismatch_pos_15,mismatch_position,6.0,19.728540420532227,37.02054214477539,118.3712387084961,222.1232452392578
xgboost_balanced_train_weights,F2,mismatch_pos_16,mismatch_position,10.0,140.23880004882812,565.8036499023438,1402.387939453125,5658.03662109375
xgboost_balanced_train_weights,F2,mismatch_pos_17,mismatch_position,1.0,16.055137634277344,33.85454177856445,16.055137634277344,33.85454177856445
xgboost_balanced_train_weights,F2,mismatch_pos_18,mismatch_position,1.0,10.124740600585938,32.873023986816406,10.124740600585938,32.873023986816406
xgboost_balanced_train_weights,F2,mismatch_pos_19,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_pos_20,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_pos_21,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,mismatch_pos_22,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F2,energy_1,binding_energy,18.0,259.2867431640625,1162.23193359375,4667.16162109375,20920.17578125
xgboost_balanced_train_weights,F2,energy_2,binding_energy,6.0,40.70134735107422,442.7066650390625,244.2080841064453,2656.239990234375
xgboost_balanced_train_weights,F2,energy_3,binding_energy,1.0,1.966461181640625,180.55953979492188,1.966461181640625,180.55953979492188
xgboost_balanced_train_weights,F2,energy_4,binding_energy,1.0,65.23786926269531,314.05889892578125,65.23786926269531,314.05889892578125
xgboost_balanced_train_weights,F2,energy_5,binding_energy,4.0,40.156585693359375,273.45166015625,160.6263427734375,1093.806640625
xgboost_unweighted,F3,guide_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F3,target_length,sequence_summary,8.0,5.691723346710205,443.9641418457031,45.53378677368164,3551.713134765625
xgboost_unweighted,F3,length_delta,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F3,guide_gc_fraction,sequence_summary,179.0,66.85392761230469,381.78466796875,11966.853515625,68339.453125
xgboost_unweighted,F3,target_gc_fraction,sequence_summary,26.0,6.963630199432373,139.33358764648438,181.05438232421875,3622.673095703125
xgboost_unweighted,F3,target_pam_gc_fraction,sequence_summary,13.0,3.819962978363037,191.51803588867188,49.65951919555664,2489.734375
xgboost_unweighted,F3,target_protospacer_gc_fraction,sequence_summary,46.0,9.217833518981934,224.37445068359375,424.0203552246094,10321.224609375
xgboost_unweighted,F3,aligned_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F3,mismatch_count,sequence_summary,74.0,8.855034828186035,139.26414489746094,655.2725830078125,10305.546875
xgboost_unweighted,F3,mismatch_rate,sequence_summary,22.0,8.75571060180664,162.58033752441406,192.62562561035156,3576.767578125
xgboost_unweighted,F3,mismatch_pos_00,mismatch_position,11.0,6.950159072875977,193.2522430419922,76.45175170898438,2125.774658203125
xgboost_unweighted,F3,mismatch_pos_01,mismatch_position,11.0,3.687262773513794,158.84182739257812,40.55989074707031,1747.2601318359375
xgboost_unweighted,F3,mismatch_pos_02,mismatch_position,22.0,3.685499429702759,114.56964874267578,81.08098602294922,2520.5322265625
xgboost_unweighted,F3,mismatch_pos_03,mismatch_position,6.0,4.274986267089844,244.75978088378906,25.649917602539062,1468.5587158203125
xgboost_unweighted,F3,mismatch_pos_04,mismatch_position,11.0,4.953958034515381,19.592073440551758,54.49353790283203,215.51280212402344
xgboost_unweighted,F3,mismatch_pos_05,mismatch_position,8.0,4.245859622955322,182.55801391601562,33.96687698364258,1460.464111328125
xgboost_unweighted,F3,mismatch_pos_06,mismatch_position,6.0,7.1570916175842285,13.142498016357422,42.94255065917969,78.85498809814453
xgboost_unweighted,F3,mismatch_pos_07,mismatch_position,4.0,5.560266971588135,36.82987594604492,22.24106788635254,147.3195037841797
xgboost_unweighted,F3,mismatch_pos_08,mismatch_position,12.0,5.846240997314453,144.03663635253906,70.15489196777344,1728.439697265625
xgboost_unweighted,F3,mismatch_pos_09,mismatch_position,2.0,3.903076648712158,49.729923248291016,7.806153297424316,99.45984649658203
xgboost_unweighted,F3,mismatch_pos_10,mismatch_position,5.0,3.6772944927215576,208.9072723388672,18.386472702026367,1044.536376953125
xgboost_unweighted,F3,mismatch_pos_11,mismatch_position,19.0,5.67822790145874,385.3888854980469,107.8863296508789,7322.388671875
xgboost_unweighted,F3,mismatch_pos_12,mismatch_position,5.0,5.375801086425781,137.7918243408203,26.879005432128906,688.9591064453125
xgboost_unweighted,F3,mismatch_pos_13,mismatch_position,17.0,6.878094673156738,135.36375427246094,116.9276123046875,2301.183837890625
xgboost_unweighted,F3,mismatch_pos_14,mismatch_position,4.0,7.70927619934082,184.22499084472656,30.83710479736328,736.8999633789062
xgboost_unweighted,F3,mismatch_pos_15,mismatch_position,3.0,5.323133945465088,58.04165267944336,15.969402313232422,174.1249542236328
xgboost_unweighted,F3,mismatch_pos_16,mismatch_position,18.0,5.911909103393555,286.879150390625,106.41436767578125,5163.82470703125
xgboost_unweighted,F3,mismatch_pos_17,mismatch_position,11.0,3.5685510635375977,24.23811149597168,39.25406265258789,266.6192321777344
xgboost_unweighted,F3,mismatch_pos_18,mismatch_position,1.0,6.989837646484375,88.478271484375,6.989837646484375,88.478271484375
xgboost_unweighted,F3,mismatch_pos_19,mismatch_position,5.0,4.460925579071045,248.91665649414062,22.304628372192383,1244.583251953125
xgboost_unweighted,F3,mismatch_pos_20,mismatch_position,2.0,6.951131820678711,49.552467346191406,13.902263641357422,99.10493469238281
xgboost_unweighted,F3,mismatch_pos_21,mismatch_position,14.0,4.959892272949219,230.25537109375,69.43849182128906,3223.5751953125
xgboost_unweighted,F3,mismatch_pos_22,mismatch_position,11.0,5.682643413543701,224.74847412109375,62.50907516479492,2472.233154296875
xgboost_unweighted,F3,energy_1,binding_energy,60.0,16.494993209838867,311.4141540527344,989.6995849609375,18684.849609375
xgboost_unweighted,F3,energy_2,binding_energy,81.0,5.275777339935303,226.97142028808594,427.3379821777344,18384.685546875
xgboost_unweighted,F3,energy_3,binding_energy,56.0,5.533958911895752,210.3684844970703,309.9017028808594,11780.634765625
xgboost_unweighted,F3,energy_4,binding_energy,38.0,4.725797653198242,172.62574768066406,179.58030700683594,6559.7783203125
xgboost_unweighted,F3,energy_5,binding_energy,62.0,7.129249095916748,182.8345184326172,442.0134582519531,11335.740234375
xgboost_unweighted,F3,epigen_ctcf,experimental_epigenetic,20.0,4.2756123542785645,290.00738525390625,85.51224517822266,5800.1474609375
xgboost_unweighted,F3,epigen_dnase,experimental_epigenetic,1.0,5.500504016876221,429.38665771484375,5.500504016876221,429.38665771484375
xgboost_unweighted,F3,epigen_rrbs,experimental_epigenetic,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F3,epigen_h3k4me3,experimental_epigenetic,71.0,31.882247924804688,289.5007629394531,2263.6396484375,20554.5546875
xgboost_unweighted,F3,epigen_drip,experimental_epigenetic,67.0,9.122802734375,203.04393005371094,611.227783203125,13603.943359375
xgboost_unweighted,F3,MNase,experimental_epigenetic,142.0,64.08256530761719,258.7304992675781,9099.724609375,36739.73046875
xgboost_balanced_train_weights,F3,guide_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F3,target_length,sequence_summary,2.0,4.187713623046875,641.8331298828125,8.37542724609375,1283.666259765625
xgboost_balanced_train_weights,F3,length_delta,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F3,guide_gc_fraction,sequence_summary,144.0,207.6517791748047,748.1595458984375,29901.85546875,107734.9765625
xgboost_balanced_train_weights,F3,target_gc_fraction,sequence_summary,20.0,19.086929321289062,155.8978271484375,381.73858642578125,3117.95654296875
